JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41368924|https://www.jobbank.gc.ca/jobsearch/jobposting/41368924?source=searchresults|truck driver|June-27-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
41336487|https://www.jobbank.gc.ca/jobsearch/jobposting/41336487?source=searchresults|business education teacher|June-23-2024|Government of Nunavut|Nunavut|Cambridge Bay|Salary not available
41332058|https://www.jobbank.gc.ca/jobsearch/jobposting/41332058?source=searchresults|early childhood educator (ECE)|June-22-2024|Government of Nunavut|Nunavut|Pangnirtung|Salary not available
41315857|https://www.jobbank.gc.ca/jobsearch/jobposting/41315857?source=searchresults|school vice-principal|June-20-2024|Government of Nunavut|Nunavut|Igloolik|Salary not available
41281016|https://www.jobbank.gc.ca/jobsearch/jobposting/41281016?source=searchresults|school vice-principal|June-15-2024|Government of Nunavut|Nunavut|Naujaat|Salary not available
41281764|https://www.jobbank.gc.ca/jobsearch/jobposting/41281764?source=searchresults|special education teacher - elementary school|June-15-2024|Government of Nunavut|Nunavut|Baker Lake|Salary not available
41252992|https://www.jobbank.gc.ca/jobsearch/jobposting/41252992?source=searchresults|English as a second language elementary school teacher|June-12-2024|Government of Nunavut|Nunavut|Arviat|Salary not available
41298377|https://www.jobbank.gc.ca/jobsearch/jobposting/41298377?source=searchresults|heavy equipment mechanic|June-17-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
41298831|https://www.jobbank.gc.ca/jobsearch/jobposting/41298831?source=searchresults|general construction labourer|June-17-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
41298931|https://www.jobbank.gc.ca/jobsearch/jobposting/41298931?source=searchresults|specialist, HVAC (heating, ventilation and air conditioning) systems|June-17-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
41298962|https://www.jobbank.gc.ca/jobsearch/jobposting/41298962?source=searchresults|diesel mechanic|June-17-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
41298131|https://www.jobbank.gc.ca/jobsearch/jobposting/41298131?source=searchresults|building maintenance supervisor|June-17-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
41252637|https://www.jobbank.gc.ca/jobsearch/jobposting/41252637?source=searchresults|school vice-principal|June-12-2024|Government of Nunavut|Nunavut|Pangnirtung|Salary not available
41252934|https://www.jobbank.gc.ca/jobsearch/jobposting/41252934?source=searchresults|language assessor|June-12-2024|Government of Nunavut|Nunavut|Chesterfield Inlet|Salary not available
41298640|https://www.jobbank.gc.ca/jobsearch/jobposting/41298640?source=searchresults|electrician|June-17-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
41298894|https://www.jobbank.gc.ca/jobsearch/jobposting/41298894?source=searchresults|truck driver|June-17-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary not available
