JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41422779|https://www.jobbank.gc.ca/jobsearch/jobposting/41422779?source=searchresults|retail store supervisor|July-08-2024|Circle K Kindersley|Saskatchewan|Kindersley|Salary: $23.00 hourly
41422747|https://www.jobbank.gc.ca/jobsearch/jobposting/41422747?source=searchresults|food counter attendant|July-08-2024|North Battleford DQ Grill & Chill|Saskatchewan|North Battleford|Salary: $14.00 hourly
41422744|https://www.jobbank.gc.ca/jobsearch/jobposting/41422744?source=searchresults|long haul truck driver|July-08-2024|iLoad Trucking Ltd.|Saskatchewan|Regina|Salary: $27.00 hourly
41422471|https://www.jobbank.gc.ca/jobsearch/jobposting/41422471?source=searchresults|electrician, construction and maintenance|July-08-2024|Property Developer One Ltd.|Saskatchewan|Saskatoon|Salary: $32.00 hourly
41422236|https://www.jobbank.gc.ca/jobsearch/jobposting/41422236?source=searchresults|construction worker|July-08-2024|Property Developer One Ltd.|Saskatchewan|Saskatoon|Salary: $20.00 hourly
41422230|https://www.jobbank.gc.ca/jobsearch/jobposting/41422230?source=searchresults|housekeeper|July-08-2024|Saskatoon Shines Care Home (East) Inc.|Saskatchewan|Saskatoon|Salary: $16.50 hourly
41422226|https://www.jobbank.gc.ca/jobsearch/jobposting/41422226?source=searchresults|personal care aide - home care|July-08-2024|Saskatoon Shines Care Home (East) Inc.|Saskatchewan|Saskatoon|Salary: $22.00 hourly
41422191|https://www.jobbank.gc.ca/jobsearch/jobposting/41422191?source=searchresults|food service supervisor|July-08-2024|102122836 Saskatchewan Ltd|Saskatchewan|Lloydminster|Salary: $16.00 hourly
41422135|https://www.jobbank.gc.ca/jobsearch/jobposting/41422135?source=searchresults|line cook|July-08-2024|Cafe Japa Bowl|Saskatchewan|Saskatoon|Salary: $15.00 hourly
41422109|https://www.jobbank.gc.ca/jobsearch/jobposting/41422109?source=searchresults|sales clerk|July-08-2024|VicSquare Arcade|Saskatchewan|Regina|Salary: $16.00 hourly
41421785|https://www.jobbank.gc.ca/jobsearch/jobposting/41421785?source=searchresults|Heating, ventilation and air conditioning (HVAC) journeyman|July-08-2024|Air Excellence HVAC Services Inc.|Saskatchewan|Saskatoon|Salary: $45.00 to $48.00 hourly (to be negotiated)
41421720|https://www.jobbank.gc.ca/jobsearch/jobposting/41421720?source=searchresults|head cashier|July-08-2024|102083497 SASKATCHEWAN INC.|Saskatchewan|Yorkton|Salary: $23.00 hourly
41421695|https://www.jobbank.gc.ca/jobsearch/jobposting/41421695?source=searchresults|sausage maker|July-08-2024|Prime Meat Ltd|Saskatchewan|St. Gregor|Salary: $18.00 hourly
41421687|https://www.jobbank.gc.ca/jobsearch/jobposting/41421687?source=searchresults|sales supervisor|July-08-2024|VicSquare Arcade|Saskatchewan|Regina|Salary: $22.00 hourly
41421411|https://www.jobbank.gc.ca/jobsearch/jobposting/41421411?source=searchresults|cook|July-08-2024|Ruchi's Masala House|Saskatchewan|Moose Jaw|Salary: $15.00 hourly
41421360|https://www.jobbank.gc.ca/jobsearch/jobposting/41421360?source=searchresults|bookkeeper|July-08-2024|VicSquare Arcade|Saskatchewan|Regina|Salary: $24.00 hourly
41421323|https://www.jobbank.gc.ca/jobsearch/jobposting/41421323?source=searchresults|nail salon supervisor|July-08-2024|Holly Nails Tech Ltd.|Saskatchewan|Regina|Salary: $22.20 to $23.20 hourly (to be negotiated)
41420823|https://www.jobbank.gc.ca/jobsearch/jobposting/41420823?source=searchresults|executive housekeeper|July-08-2024|KP Group Ventures Ltd.|Saskatchewan|Moosomin|Salary: $16.00 to $18.00 hourly (to be negotiated)
41420733|https://www.jobbank.gc.ca/jobsearch/jobposting/41420733?source=searchresults|accounting technician|July-08-2024|Mokx Professional services Ltd.|Saskatchewan|Saskatoon|Salary: $24.90 hourly
41420492|https://www.jobbank.gc.ca/jobsearch/jobposting/41420492?source=searchresults|pharmacy technical assistant|July-08-2024|The North West Company LP|Saskatchewan|Pelican Narrows|Salary: $23.00 hourly
41420429|https://www.jobbank.gc.ca/jobsearch/jobposting/41420429?source=searchresults|housekeeping attendant|July-08-2024|Prairie Moon Inn & Suites|Saskatchewan|Macklin|Salary: $16.00 hourly
41420414|https://www.jobbank.gc.ca/jobsearch/jobposting/41420414?source=searchresults|concrete finisher|July-08-2024|Tek Concrete & Construction Ltd.|Saskatchewan|Blumenheim|Salary: $25.00 to $45.00 hourly (to be negotiated)
41419988|https://www.jobbank.gc.ca/jobsearch/jobposting/41419988?source=searchresults|food service supervisor|July-08-2024|SUPER C ESSO|Saskatchewan|Yorkton|Salary: $16.00 hourly
41419982|https://www.jobbank.gc.ca/jobsearch/jobposting/41419982?source=searchresults|retail store supervisor|July-08-2024|SUPER C ESSO|Saskatchewan|Yorkton|Salary: $22.00 hourly
41419974|https://www.jobbank.gc.ca/jobsearch/jobposting/41419974?source=searchresults|construction painter|July-08-2024|Moncana Construction|Saskatchewan|Saskatoon|Salary: $22.00 to $25.00 hourly (to be negotiated)
41419970|https://www.jobbank.gc.ca/jobsearch/jobposting/41419970?source=searchresults|nail care technician|July-08-2024|LIL LY'S NAIL SPA LAWSON INCORPORATED|Saskatchewan|Saskatoon|Salary: $17.00 to $20.00 hourly (to be negotiated)
